V,I_0,I_1,I_2,I_3,I_4
-0.29989999999999895,-8.827615467594522e-11,-2.8376902249646084e-10,-9.065695682710691e-10,-2.2690903650918667e-10,-9.630859353108738e-11
-0.28989999999999894,-8.141391364204346e-11,-2.733118522337078e-10,-8.879180361208488e-10,-2.0678420450071177e-10,-8.311410775689127e-11
-0.2798999999999989,-7.979381332332946e-11,-2.66114409124969e-10,-8.289899475250195e-10,-2.042711318651606e-10,-8.04723787370452e-11
-0.2698999999999989,-7.74107148916557e-11,-2.596809666285019e-10,-7.885302907556573e-10,-1.992151483657221e-10,-7.665808931920278e-11
-0.2598999999999989,-7.179586005483006e-11,-2.564835267253722e-10,-8.262955625077686e-10,-1.8338840628574191e-10,-6.787730062398666e-11
-0.2498999999999989,-6.659081108849153e-11,-2.4712627741922914e-10,-8.490621220622818e-10,-1.6860256361473672e-10,-6.040449952104607e-11
-0.2398999999999989,-6.32782364229404e-11,-2.0932316671267505e-10,-8.025649657380514e-10,-1.5862357102337624e-10,-5.897195572624965e-11
-0.22989999999999888,-6.052538510227655e-11,-1.838077453524264e-10,-7.558453274114517e-10,-1.51253942521718e-10,-5.771920506134438e-11
-0.21989999999999887,-6.062575766164564e-11,-2.209295696842694e-10,-7.079915735117994e-10,-1.571857065748725e-10,-5.738296083905427e-11
-0.20989999999999887,-6.002988460074904e-11,-2.5074428710051884e-10,-6.594640466607835e-10,-1.6067697601457561e-10,-5.6278132731761e-11
-0.19989999999999886,-5.551935901266657e-11,-2.394746749052878e-10,-6.071482202355474e-10,-1.5044652408462028e-10,-5.085192900614251e-11
-0.18989999999999885,-5.088778232934691e-11,-2.2855091766166232e-10,-5.597972416967061e-10,-1.3883560274909796e-10,-4.5516123755464214e-11
-0.17989999999999884,-4.5500074891720296e-11,-2.1978750076791855e-10,-5.434585738685035e-10,-1.186017493295349e-10,-4.074498144245528e-11
-0.16989999999999883,-4.0731002257292973e-11,-2.1002022580216645e-10,-5.245858070871547e-10,-1.0173017942584381e-10,-3.615906329893708e-11
-0.15989999999999882,-4.03322851680431e-11,-1.9316117929546002e-10,-4.878108573787592e-10,-1.0861151565038432e-10,-3.2881664288271395e-11
-0.1498999999999988,-3.967929505171496e-11,-1.7643272634647033e-10,-4.491180264560238e-10,-1.1319698056132453e-10,-2.974781855055324e-11
-0.1398999999999988,-3.6989829970771565e-11,-1.6075019837775137e-10,-3.9506486760944985e-10,-9.939479143813684e-11,-2.7763692269143108e-11
-0.1298999999999988,-3.429865120925909e-11,-1.4550715554264197e-10,-3.411455744365401e-10,-8.629479973778879e-11,-2.568301311983051e-11
-0.11989999999999879,-3.159151931832515e-11,-1.3435540214721226e-10,-2.884724740813488e-10,-7.973175930366061e-11,-2.270349644767452e-11
-0.10989999999999878,-2.8892592875236294e-11,-1.2274306170580487e-10,-2.4136141816177043e-10,-7.327281656501723e-11,-1.9878217628411682e-11
-0.09989999999999877,-2.6283144887219802e-11,-1.0610812919160143e-10,-2.549031325161606e-10,-6.794903441046816e-11,-1.8734865871647677e-11
-0.08989999999999876,-2.3670506799656658e-11,-8.993214753584743e-11,-2.6514015446165436e-10,-6.236581180959781e-11,-1.7883050762056945e-11
-0.07989999999999875,-2.1015744897625266e-11,-7.981640335188001e-11,-2.3174021528066693e-10,-5.3356796042537106e-11,-2.0880844561724178e-11
-0.06989999999999874,-1.8344446070127247e-11,-6.977689057506176e-11,-1.980334276748462e-10,-4.442569742177622e-11,-2.3425279888650503e-11
-0.05989999999999873,-1.5399562668681927e-11,-6.099853949897155e-11,-1.5925018279504088e-10,-3.6783649133656613e-11,-1.846941627182821e-11
-0.04989999999999872,-1.2458275085855006e-11,-5.195501517206816e-11,-1.2102905327050743e-10,-2.920022031962108e-11,-1.353628868308946e-11
-0.039899999999998714,-9.595864588501143e-12,-3.7094708802115336e-11,-9.513836241066136e-11,-2.2902655382049684e-11,-9.101893600291839e-12
-0.029899999999998705,-6.719515115308783e-12,-2.2427706455049362e-11,-6.928402393881198e-11,-1.6595333001253237e-11,-4.730090226492245e-12
-0.019899999999998697,-3.394015719668023e-12,-1.3989460646094356e-11,-4.4601053610412233e-11,-9.973600514678283e-12,-2.375153914384251e-12
-0.009899999999998688,-7.455749774704006e-14,-5.549657276702375e-12,-1.998288731392005e-11,-3.3547156241464247e-12,-1.2575138098506475e-14
0.00010000000000132125,2.889194968568598e-12,2.9818556242860105e-12,8.19602061961563e-13,3.096502129310421e-12,2.7999937594999712e-12
0.01010000000000133,5.853439224327983e-12,1.1517315548562072e-11,2.1651485705603795e-11,9.552501550258034e-12,5.609179857358746e-12
0.02010000000000134,8.966218794803301e-12,2.124489611243414e-11,5.13613289479799e-11,1.7452709452373863e-11,7.39665792478549e-12
0.030100000000001348,1.2078998365278621e-11,3.097247667630621e-11,8.107117219035601e-11,2.5352917354489695e-11,9.184135992212232e-12
0.04010000000000136,1.6447061849948205e-11,3.439571203239368e-11,9.786192584452829e-11,3.572648433953188e-11,1.1294076201505323e-11
0.050100000000001366,2.082793306017915e-11,3.775462383398295e-11,1.1452086537117345e-10,4.6125287132976133e-11,1.3407306508417168e-11
0.060100000000001375,2.3033960852554328e-11,4.7533286736342823e-11,1.5262142677995405e-10,6.518150306762358e-11,1.805469518995033e-11
0.07010000000000138,2.51874217618272e-11,5.746711773167411e-11,1.9124024123709124e-10,8.444697233095924e-11,2.2763335548706663e-11
0.08010000000000139,2.896528781054562e-11,6.980573880286792e-11,2.0945038018413265e-10,9.197870659765082e-11,2.484023488070171e-11
0.0901000000000014,3.280556610242006e-11,8.223675575444238e-11,2.2687638518115263e-10,9.905961200154473e-11,2.681601851384962e-11
0.10010000000000141,3.829209840266838e-11,8.588732841458232e-11,2.2789001518889116e-10,1.2294993125640993e-10,2.931564882746866e-11
0.11010000000000142,4.386600559973831e-11,8.907187917888507e-11,2.2803255873974535e-10,1.4773240979738133e-10,3.1843082292620633e-11
0.12010000000000143,4.6638436171802055e-11,9.887958525913142e-11,2.672300485213905e-10,1.220759565758754e-10,3.639158692459562e-11
0.13010000000000144,4.9219312786600866e-11,1.0914015666012498e-10,3.0909796197692957e-10,9.297068750737065e-11,4.107828445686587e-11
0.14010000000000145,5.443147244359829e-11,1.1441755761280556e-10,3.362086312557481e-10,9.289785015718272e-11,4.1192066688571656e-11
0.15010000000000145,5.986314325362808e-11,1.1927924445441428e-10,3.620881978242684e-10,9.524700331870208e-11,4.09243597781943e-11
0.16010000000000146,6.873870771154437e-11,1.28903011659538e-10,4.058098509114359e-10,9.113873878002792e-11,4.7318774474622924e-11
0.17010000000000147,7.795904040043658e-11,1.3900351078224044e-10,4.5131767547626457e-10,8.638402208434982e-11,5.43801342383984e-11
0.18010000000000148,8.483297899060555e-11,1.6516352996310744e-10,4.573857882016934e-10,9.329541863331603e-11,5.529132756033855e-11
0.1901000000000015,9.143456826574458e-11,1.9318760057929414e-10,4.5887607723148484e-10,1.01560917612462e-10,5.5488662277423954e-11
0.2001000000000015,9.42122094829695e-11,1.975014791856097e-10,5.248324159950529e-10,1.0517294473159509e-10,5.713855034462484e-11
0.2101000000000015,9.647825674233365e-11,1.986432459357339e-10,5.994134643601798e-10,1.0816239851798357e-10,5.898277094619464e-11
0.22010000000000152,1.1165649888020502e-10,2.071239242989195e-10,6.123993467940388e-10,1.2747795680315633e-10,6.79207662559841e-11
0.23010000000000153,1.2878122839331482e-10,2.1671092880860654e-10,6.160998820046697e-10,1.4925464246386175e-10,7.792813381752905e-11
0.24010000000000153,1.3773081336412669e-10,2.641339792322446e-10,6.421544160560214e-10,1.5908415333226436e-10,9.278658440520062e-11
0.25010000000000154,1.453051403745537e-10,3.179219719591562e-10,6.71969435893658e-10,1.6690385909542226e-10,1.0846110503464948e-10
0.26010000000000155,1.5356542581145842e-10,3.571261227892704e-10,7.338129586399112e-10,1.7433364918705928e-10,1.304685801651311e-10
0.27010000000000156,1.6195443028801085e-10,3.9359363820407427e-10,8.016665805067767e-10,1.8169027220494304e-10,1.5366442443000944e-10
0.28010000000000157,1.7127620688581182e-10,3.880372181283071e-10,8.033869742428045e-10,2.1970402941455764e-10,1.5741051663618905e-10
0.2901000000000016,1.8079038883069762e-10,3.738124108765692e-10,7.914658939011957e-10,2.64041513942363e-10,1.5714465757332907e-10
0.3001000000000016,1.9398330828216814e-10,4.2792410504919635e-10,8.226544584054034e-10,2.724260762453751e-10,1.7576070279034024e-10
0.3101000000000016,2.0801127857869074e-10,4.975477658027979e-10,8.636286478132523e-10,2.7264954577344264e-10,1.986628244389741e-10
0.3201000000000016,2.2173708494993041e-10,5.057152627537326e-10,9.091320217833516e-10,2.753650182157382e-10,2.0136901607861902e-10
0.3301000000000016,2.3538829224734724e-10,4.987102903369418e-10,9.557535734882698e-10,2.786957232977055e-10,1.990891801100646e-10
0.3401000000000016,2.43124040630293e-10,4.258205520154213e-10,1.013615589090139e-09,2.5244668547975365e-10,2.030142469968494e-10
0.35010000000000163,2.4927783485487097e-10,3.353114403024122e-10,1.0744836096124826e-09,2.182872221207665e-10,2.0859867320236083e-10
0.36010000000000164,2.520216220518285e-10,3.376356488725314e-10,1.1388113202852766e-09,2.0384834948049781e-10,2.1532270813916623e-10
0.37010000000000165,2.5377540720851007e-10,3.669114665570819e-10,1.204143457130781e-09,1.951348096295291e-10,2.2237759722376635e-10
0.38010000000000166,2.701121563375034e-10,4.767799464441715e-10,1.2494466283364911e-09,2.2078644760280546e-10,2.13136276922615e-10
0.39010000000000167,2.910036894893405e-10,6.118204126884612e-10,1.2884940333712477e-09,2.5717156631382823e-10,1.9880506445111551e-10
0.4001000000000017,3.0993532509926863e-10,6.696372397819616e-10,1.3361848095930139e-09,2.6933137493582036e-10,1.8377875940545157e-10
0.4101000000000017,3.2820667437154883e-10,7.014375467337748e-10,1.38678752370131e-09,2.7332971545295893e-10,1.6851827878667358e-10
0.4201000000000017,3.398668113079513e-10,6.863495914554509e-10,1.2586960076475395e-09,3.037814444938275e-10,1.8768698249777685e-10
0.4301000000000017,3.4914331386475373e-10,6.543563443526703e-10,1.066177320174848e-09,3.437707898051483e-10,2.192689295386905e-10
0.4401000000000017,3.265665634107842e-10,6.904816075680401e-10,1.0022148666539642e-09,3.727308852920768e-10,2.228139903047687e-10
0.4501000000000017,2.9166379688192177e-10,7.52966183375293e-10,9.879988614999653e-10,3.9742307412019406e-10,2.1550982600750093e-10
0.46010000000000173,2.9961319389051787e-10,8.928058838535097e-10,1.0822806565130867e-09,4.2082924319005766e-10,2.3741919849128656e-10
0.47010000000000174,3.25236082075565e-10,1.0645491103259387e-09,1.2213101318210846e-09,4.437050199302464e-10,2.713770917943665e-10
0.48010000000000175,3.1982346049702424e-10,1.1471337736745606e-09,1.2814760506721792e-09,4.914362746755509e-10,2.871939877108652e-10
